REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblCenter	センタ	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblinventoryDt	棚卸日	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblTitle	商品別棚卸実績表(LOC表示あり)	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblPage	PAGE:	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lbltype	品種	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblinventorydiff	棚卸差異	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblNo	No.	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblProductCd	商品CD	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lbljanCd	JANCD	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblProductNm	商品名称	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lblinventoryNum	棚卸数量	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lbllocation	ロケーション	String	1	
ProductInventoryListLoc	商品別棚卸実績表(LOC表示あり)	商品別棚卸実績表(LOC表示あり)	../../../../../../reports/inventory/ProductInventoryListLoc.jrxml	1						0	0	lbltatalinventory	商品計	String	1	
