CLASS_GRP_DTL_ID	CLASS_DTL_ID	CLASS_GRP_ID	DEFAULT_FLG
1	286	1	0
2	289	1	0
3	290	1	0
4	291	1	0
5	292	1	0
6	293	1	0
7	294	1	0
8	295	1	0
9	296	1	0
10	298	1	0
11	319	2	0
12	322	2	0
13	323	2	0
14	324	2	0
15	325	2	0
16	326	2	0
17	327	2	0
18	328	2	0
19	329	2	0
20	331	2	0
21	407	3	0
22	409	3	0
23	410	3	0
24	411	3	0
25	453	4	0
26	453	5	0
27	456	4	0
28	456	5	0
29	456	6	0
30	457	4	0
31	457	5	0
32	457	6	0
33	458	4	0
34	458	5	0
35	458	6	0
36	459	4	0
37	459	5	0
38	459	6	0
39	460	4	0
40	460	5	0
41	460	6	0
42	461	4	0
43	461	5	0
44	461	6	0
45	462	4	0
46	462	5	0
47	462	6	0
48	463	4	0
49	463	5	0
50	463	6	0
51	464	4	0
52	464	5	0
53	465	4	0
54	465	5	0
55	817	7	0
56	818	7	0
57	820	8	0
