SCREEN_ROLE_ID	SCREEN_ID	ROLE_ID	VISIBLE
1	210	1	0
2	209	1	0
3	241	1	0
4	249	1	0
5	246	1	0
6	244	1	0
7	242	1	0
8	240	1	0
9	239	1	0
10	254	1	0
11	254	2	0
12	254	5	0
13	255	2	0
14	255	5	0
15	257	2	0
16	257	5	0
17	258	2	0
18	258	5	0
19	256	2	0
20	256	5	0
21	208	1	0
22	205	1	0
23	206	1	0
24	207	1	0
25	222	1	0
26	247	1	0
27	245	1	0
28	243	1	0
29	248	1	0
30	221	1	0
31	220	1	0
32	236	1	0
33	235	1	0
34	237	1	0
35	234	1	0
36	211	5	0
37	211	7	0
38	212	4	1
39	212	10	1
40	225	5	0
41	225	6	0
42	225	7	0
43	232	5	0
44	232	6	0
45	232	7	0
46	231	7	0
47	226	5	0
48	226	6	0
49	226	7	0
50	224	5	0
51	224	6	0
52	224	7	0
53	250	1	0
54	250	5	0
55	250	6	0
56	204	5	0
57	204	6	0
58	204	7	0
59	203	7	0
60	218	3	0
61	217	3	0
62	216	3	0
63	213	2	0
64	229	2	0
65	229	4	0
66	238	1	0
67	233	1	0
68	392	4	1
69	392	10	1
70	338	4	1
71	338	10	1
72	295	4	1
73	295	10	1
74	298	4	1
75	298	10	1
76	373	4	1
77	373	10	1
78	434	4	1
79	434	10	1
80	319	1	0
81	318	1	0
82	320	1	0
83	279	1	0
84	276	1	0
85	277	1	0
86	278	1	0
87	282	1	0
88	281	1	0
89	280	1	0
90	308	1	0
91	308	2	0
92	307	1	0
93	307	2	0
94	323	1	0
95	323	2	0
96	322	1	0
97	322	2	0
98	321	1	0
99	321	2	0
100	348	1	0
101	348	2	0
102	292	1	0
103	367	2	0
104	271	2	0
105	271	5	0
106	272	2	0
107	269	2	0
108	269	5	0
109	270	2	0
110	273	2	0
111	273	5	0
112	274	2	0
113	285	1	0
114	285	2	0
115	285	5	0
116	260	2	0
117	287	2	0
118	284	2	0
119	283	2	0
120	359	2	0
121	436	2	0
122	443	2	0
123	335	2	0
124	337	2	0
125	336	2	0
126	334	2	0
127	290	2	0
128	289	2	0
129	288	2	0
130	266	2	0
131	265	2	0
132	294	2	0
133	293	2	0
134	371	2	0
135	372	2	0
136	369	2	0
137	368	2	0
138	376	2	0
139	396	2	0
140	395	2	0
141	264	2	0
142	263	2	0
143	262	2	0
144	428	2	0
145	399	2	0
146	398	2	0
147	397	2	0
148	438	2	0
149	440	2	0
150	354	1	0
151	354	2	0
152	354	5	0
153	433	2	0
154	433	5	0
155	432	2	0
156	432	5	0
157	314	2	0
158	316	2	0
159	317	2	0
160	311	2	0
161	310	2	0
162	313	2	0
163	312	2	0
164	309	2	0
165	315	2	0
166	340	4	1
167	346	4	1
168	344	4	1
169	347	4	1
170	343	4	1
171	345	4	1
172	341	4	1
173	291	3	0
174	305	4	1
175	386	4	1
176	414	4	1
177	375	4	1
178	382	4	1
179	378	4	1
180	409	4	1
181	409	8	0
182	297	4	1
183	297	8	0
184	405	4	1
185	405	8	0
186	404	4	1
187	377	4	1
188	377	8	0
189	361	1	0
190	400	4	1
191	400	8	0
192	357	4	1
193	357	8	0
194	402	4	1
195	402	8	0
196	356	4	1
197	356	8	0
198	431	4	1
199	431	9	0
200	418	4	1
201	416	4	1
202	417	4	1
203	422	4	1
204	391	4	1
205	391	8	0
206	394	4	1
207	387	10	1
208	387	11	0
209	388	10	1
210	388	11	0
211	390	10	1
212	390	11	0
213	389	10	1
214	389	11	0
215	437	1	0
216	439	2	0
