ITEM_ROLE_ID	ITEM_ID	ROLE_ID	VISIBLE	EDITABLE
1	1459	1	0	0
2	1459	2	0	0
3	1459	3	0	0
4	1459	4	0	0
5	1459	5	0	0
6	1459	6	0	0
7	1397	4	0	
8	1996	6	0	
9	1996	5		0
10	1997	6	0	
11	1997	5		0
12	1998	5		0
13	1973	6	0	0
14	1973	5	0	0
15	1974	5	0	0
16	1976	6	0	0
17	1959	6	0	0
18	1960	6	0	0
19	1961	6	0	0
20	1967	6	0	
21	2665	6	0	
22	3936	5		0
23	3937	5		0
24	3938	5		0
25	2227	4	0	0
26	2228	4	0	0
27	2229	4	0	0
28	2230	4	0	0
29	2231	4	0	0
30	2232	4	0	0
31	2233	4	0	0
32	2234	4	0	0
33	3594	4	0	
34	3596	4	0	
35	3597	4	0	
36	3598	4	0	
37	3599	4	0	
38	3600	4	0	
39	2955	4	0	
40	2956	4	0	
41	2957	4	0	
42	3074	4	0	
43	3083	4	0	
44	3084	4	0	
45	3086	4	0	
46	3085	4	0	
47	2127	4	0	
48	2129	4	0	
49	2130	4	0	
50	3451	4	0	
51	3452	4	0	
52	3454	4	0	
53	3455	4	0	
54	3457	4	0	
55	3459	4	0	
56	3460	4	0	
57	3461	4	0	
58	3462	4	0	
59	3464	4	0	
60	3453	4	0	
61	3450	4	0	
62	3458	4	0	
63	3417	4	0	
64	2995	4	0	
65	2996	4	0	
66	2997	4	0	
67	2998	4	0	
68	2999	4	0	
69	3000	4	0	
70	3001	4	0	
71	3002	4	0	
72	3343	4	0	
73	3346	4	0	
74	3347	4	0	
75	3679	4	0	0
76	3680	4	0	0
77	3681	4	0	0
78	3682	4	0	0
79	3775	4	0	
80	3776	4	0	
81	3772	4	0	
82	3774	4	0	
83	3240	4	0	
84	3270	4	0	0
85	3271	4	0	0
86	3272	4	0	0
87	3273	4	0	0
88	3274	4	0	0
89	3275	4	0	0
