MENU_GRP_ID	MENU_GRP_CD	DICT_ID	PARENT_MENU_GRP_ID	VIEW_ORDER	VISIBLE_TYPE
1	ECORDER	2337		1	PC
2	RECEIVE	159		2	PC
3	SHIPPING	160		3	PC
4	STOCK	161		4	PC
5	INVENTORY	162		5	PC
6	MASTER	158		6	PC
7	DAILY	1865		7	PC
8	OPERATION	1106		8	PC
9	SYSTEM_MASTER	1105		9	PC
10	HELP	1221		10	PC
11	SD_RECEIVE	159		1	SD
12	SD_SHIPPING	160		2	SD
13	SD_INVENTORY	162		3	SD
14	HT_RECEIVE	2670		1	HT
15	HT_SHIPPING	2671		2	HT
16	HT_STOCK	1613		3	HT
17	HT_INVENTORY	2672		4	HT
18	HT_OPERATION	2673		5	HT
19	HT_SYSTEM	1105		6	HT
