REPORT_ID	REPORT_CD	REPORT_NM
1	BarcodeLabel	バーコードラベル
2	BillOfLading	Bill of Lading
3	CasePickingList	ケースピッキングリスト
4	ClassLabel	汎用ラベル
5	CommercialInvoice	CommercialInvoice
6	CommonInvoiceList	共通送り状
7	CommonTagLabel	汎用荷札
8	ConwaBillofLading	Conwa Bill of Lading
9	ConwayShippingLabel	Conway Shipping Label
10	DeliverySlipList	納品明細
11	EcDeliverySlipList	ECお買上明細
12	EMReplenishLabel	緊急補充ラベル
13	InspectionLabel	検品ラベル
14	InventoryDiffList	棚卸差異リスト
15	InventoryWorkList	棚卸作業リスト
16	LocationBarcodeList	ロケーションバーコードリスト
17	MoveLabel	搬送ラベル
18	MultiPickingList	マルチピッキングリスト
19	OrderPickingList	オーダーピッキングリスト
20	PackingSlipList	PackingSlip
21	PLPickingList	摘み取りリスト
22	ProductLabel	商品ラベル
23	ReceivePlanList	入荷予定リスト
24	RGReplenishLabel	定期補充ラベル
25	SagawaTagLabel	佐川急便荷札
26	SingleRowPickingList	単行ピッキングリスト
27	SLPickingList	種蒔きリスト
28	StockListSample	在庫リスト(サンプル)
29	StockSetInstList	セット組指示書
30	StockSetReleaseList	セット解除指示書
31	StoreLabel	入庫ラベル
32	StwList	積込リスト
33	TotalPickingList	トータルピッキングリスト
34	YamatoCollectTagLabel	ヤマト宅急便(コレクト)荷札
35	YamatoDeliveryTagLabel	ヤマト宅急便(発払)荷札
36	YuPacketTagLabel	ゆうパケット荷札
37	YuPackTagLabel	ゆうパック荷札
